Title;Author(s);Year;Publication Title;Type of Publication;Source;DOI;Abstract
What Would the Matrix Do?: A Systematic Review of K-12 AI Learning Contexts and Learner-Interface Interactions;"Moore, Robert L.; Jiang, Shiyan; Abramowitz, Brian";2023;Journal of Research on Technology in Education;Article;Eric;https://doi.org/10.1080/15391523.2022.2148785;This systematic review examines the empirical literature published between 2014 and 2021 that situates artificial intelligence within K-12 educational contexts. Our review synthesizes 12 articles and highlights artificial intelligence's instructional contexts and applications in K-12 learning environments. We focused our synThesis on the learning contexts and the learner-interface interactions. Our findings highlight that most of intelligent systems are being deployed in math or informal settings. Also, there are opportunities for more collaboration to facilitate teaching and learning in domain-specific areas. Additionally, researchers can explore how to implement more collaborative learning opportunities between intelligent tutors and learners. We conclude with a discussion of the reciprocal nature of this technology integration.
ML4STEM Professional Development Program: Enriching K-12 STEM Teaching with Machine Learning;"Tang, Jingwan; Zhou, Xiaofei; Wan, Xiaoyu; Daley, Michael; Bai, Zhen";2023;International Journal of Artificial Intelligence in Education;Article;Eric;https://www.doi.org/10.1007/s40593-022-00292-4;The advances of machine learning (ML) in scientific discovery (SD) reveal exciting opportunities to utilize it as a cross-cutting tool for inquiry-based learning in K-12 STEM classrooms. There are, however, limited efforts on providing teachers with sufficient knowledge and skills to integrate ML into teaching. Our study addresses this gap by proposing a professional development (PD) program named ML4STEM. Based on existing research on supporting teacher learning in innovative technology integration, ML4STEM is composed of Teachers-as-Learners and Teachers-as-Designers sessions. It integrates an accessible ML learning platform designed for students with limited math and computing skills. We implemented this PD program and evaluated its effectiveness with 18 K-12 STEM teachers. Findings confirm that ML4STEM successfully develops teachers' understanding of teaching STEM with ML as well as fosters positive attitudes toward applying the ML as an in-class teaching technology. Discussions on the implications of our findings from ML4STEM are provided for future PD researchers and designers.
Integrating Machine Learning in Mathematics Classrooms;Jones, Joshua;2021;Mathematics Teacher: Learning and Teaching PK-12;Article;Eric;https://doi.org/10.5951/MTLT.2021.0001;"Aside from being culturally relevant, artificial intelligence is also supporting companies in making business decisions. Consequently, ""workforce needs have shifted rapidly,"" resulting in a demand for applicants who are skilled in ""data, analytics, machine learning, and artificial intelligence"" (Miller and Hughes 2017). This article contributes to filling that need by exploring a lesson in which students learned how conditional probability is the crux of many machine learning algorithms, including predictive text applications. Prior to this lesson, students learned how to calculate conditional probability. Most students had also demonstrated that they were able to calculate experimental probabilities on the basis of a Venn diagram, on a word problem, and on a two-way table. The activity described in this article satisfies Common Core State Standard CCSS.MATH.CONTENT.HSS. CP.A.5."
Personalized Online Learning, Test Fairness, and Educational Measurement: Considering Differential Content Exposure Prior to a High Stakes End of Course Exam;"Katz, Daniel; Huggins-Manley, Anne Corinne; Leite, Walter";2022;Applied Measurement in Education;Article;Eric;https://doi.org/10.1080/08957347.2022.2034824;"According to the ""Standards for Educational and Psychological Testing"" (2014), one aspect of test fairness concerns examinees having comparable opportunities to learn prior to taking tests. Meanwhile, many researchers are developing platforms enhanced by artificial intelligence (AI) that can personalize curriculum to individual student needs. This leads to a larger overarching question: When personalized learning leads to students having differential exposure to curriculum throughout the K-12 school year, how might this affect test fairness with respect to summative, end-of-year high-stakes tests? As a first step, we traced the differences in content exposure associated with personalized learning and more traditional learning paths. To better understand the implications of differences in content coverage, we conducted a simulation study to evaluate the degree to which curriculum exposure varied across students in a particular AI-enhanced learning platform for Algebra instruction with high-school students. Results indicate that AI-enhanced personalized learning may pose threats to test fairness as opportunity-to-learn on K-12 summative high-stakes tests. We discuss the implications given different perspectives of the role of testing in education"
Artificial Intelligence in Mathematics Education: A Systematic Literature Review;"Mohamed, Mohamed Zulhilmi bin; Hidayat, Riyan; Suhaizi, Nurain Nabilah binti; Sabri, Norhafiza binti Mat; Mahmud, Muhamad Khairul Hakim bin; Baharuddin, Siti Nurshafikah binti";2022;International Electronic Journal of Mathematics Education;Article;Eric;https://doi.org/10.29333/iejme/12132;The advancement of technology like artificial intelligence (AI) provides a chance to help teachers and students solve and improve teaching and learning performances. The goal of this review is to add to the conversation by offering a complete overview of AI in mathematics teaching and learning for students at all levels of education. A systematic literature review (SLR) was conducted using established and robust guidelines. We follow the preferred Reporting items for systematic reviews and meta-analyses (PRISMA). We searched ScienceDirect, Scopus, Springer Link, ProQuest, and EBSCO Host for 20 AI studies published between 2017 and 2021. The findings of the SLR indicate that AI approach used in mathematics education forthe samples studied were through robotics, systems, tools, teachable agent, autonomous agent, and a comprehensive approach. Then, it can be shown that the majority of the collected studies were carried out in the USA and Mexico. The analysis revealed that most of the reviewed studies used quantitative research methods. The types of themes for AI in mathematics education were categorized into advantages and disadvantages, conceptual understanding, factors, role, idea suggestion, strategies and effectiveness.
The Effect of AI-Based Systems on Mathematics Achievement in Rural Context: A Quantitative Study;"Khazanchi, Rashmi; Mitri, Daniele Di; Drachsler, Hendrik";2025;Journal of Computer Assisted Learning;Article;Eric;https://doi.org/10.1111/jcal.13098;Background: Despite educational advances, poor mathematics achievement persists among K-12 students, particularly in rural areas with limited resources and skilled teachers. Artificial Intelligence (AI) based systems have increasingly been adopted to support the diverse learning needs of students and have been shown to enhance mathematics achievement through personalized learning experiences by adapting to student's needs. Existing studies have documented the positive impact of AI-based systems on mathematics achievement. However, there is a lack of research that has studied AI-based systems on students' mathematics achievement and engagement in rural settings. The present study addresses the existing literature gap by focusing on the AI-based Edmentum Exact Path, analyzing its effectiveness in enhancing mathematics achievement and engagement among 8th-grade students in rural schools in the Southern United States. By examining both cognitive and affective engagement, along with students' mathematics achievement, this research explores the role of AI-based systems in student learning. Objective: This study aims to explore the effectiveness of Edmentum Exact Path, an AI-based system, in improving 8th-grade students' mathematics achievement and affective and cognitive engagement in the Southern United States. Methods: This study utilized a quasi-experimental design involving 78 students from socioeconomically disadvantaged backgrounds, comparing those receiving supplemental Edmentum Exact Path-led instruction and traditional teacher-led methods to a control group receiving only the teacher-led instructions. Mathematics achievement was measured through pre-tests and post-tests, while student engagement was assessed using the 5-point Student Engagement Instrument (SEI). Statistical analysis was performed using t-tests and ANOVA. Results and Conclusions: The findings revealed statistically significant improvements in mathematics achievement for both the experimental and control groups. However, the group using teacher-led instruction showed a statistically significant improvement in affective engagement, while no statistically significant differences were observed in cognitive engagement between groups. Implications: The findings suggest that integrating AI-based systems like Edmentum Exact Path may enhance affective engagement in mathematics among students from rural areas. However, the impact on cognitive engagement remains unclear, indicating a need for further research. These results support the potential for integrating AI-based systems to enhance mathematics achievement in rural settings.
Cultural Integration in AI-Enhanced Mathematics Education: Insights from Southeast Asian Educators;"Payadnya, I. Putu Ade Andre; Putri, Gusti Ayu Made Arna; Suwija, I. Ketut; Saelee, Sompob; Jayantika, I. Gusti Agung Ngurah Trisna";2025;Journal for Multicultural Education;Article;Eric;https://doi.org/10.1108/JME-09-2024-0119;Purpose: Artificial intelligence (AI) is increasingly used in education, yet its cultural impact, especially in Southeast Asian mathematics education, remains underexplored. This gap is significant because understanding cultural adaptation is essential for AI tools to effectively enhance learning in diverse classrooms. This study examines how AI can be integrated into mathematics education across Southeast Asia, focusing on specific cultural practices such as communal learning styles, respect for hierarchical structures and the role of local languages, as well as educators' perspectives. Design/methodology/approach: A mixed-methods approach was used, combining quantitative data from questionnaires with qualitative insights from interviews with educators across ten Southeast Asian countries. The study included 543 respondents in total with the numbers is varying in each country, targeting high school teachers experienced in using AI in teaching. Findings: The findings revealed that educators in Singapore are most confident in AI's adaptability to cultural contexts, whereas those in Myanmar and Laos face challenges due to infrastructure limitations. Interviews highlighted the need to customize AI tools to align with students' cultural backgrounds, including language preferences and traditional learning practices, for effective implementation. Teacher training and access to technology, especially in rural areas, were also identified as critical factors. Originality/value: This study addresses a critical gap in understanding AI's cultural implications in Southeast Asia, providing insights into how cultural values, language and educational practices influence the integration of AI in mathematics education. The findings highlight the need for culturally responsive AI tools and targeted improvements in infrastructure and teacher training for successful implementation.
Introducing Students to Machine Learning with Decision Trees Using CODAP and Jupyter NoteBooks;"Biehler, Rolf; Fleischer, Yannik";2021;Teaching Statistics: An International  Journal for Teachers;Article;Eric;https://doi.org/10.1111/test.12279;"This paper Reports on progress in the development of a teaching module on machine learning with decision trees for secondary-school students, in which students use survey data about media use to predict who plays online games frequently. This context is familiar to students and provides a link between school and everyday experience. In this module, they use CODAP's ""Arbor"" plug-in to manually build decision trees and understand how to systematically build trees based on data. Further on, the students use a menu-based environment in a Jupyter NoteBook to apply an algorithm that automatically generates decision trees and to evaluate and optimize the performance of these. Students acquire technical and conceptual skills but also reflect on personal and social aspects of the uses of algorithms from machine learning."
ALEKS in High School Mathematics Classrooms: Exploring Teachers' Perceptions and Use of This Tool;"Kumor, Tristan; Uribe-Flórez, Lida; Trespalacios, Jesús; Yang, Dazhi";2024;TechTrends: Linking Research and Practice to Improve Learning;Article;Eric;https://doi.org/10.1007/s11528-024-00955-0;There has been a limited amount of research that has attempted to determine teaching strategies using adaptive learning systems. Most studies have attempted to measure success of the use of these technologies based on improvements in students' test scores but have lacked to provide any information regarding the pedagogy implemented while using the tool or teachers' perceptions of it. A basic qualitative study was conducted where five Chicagoland high school mathematics teachers, who used the Assessment and Learning in Knowledge Spaces (ALEKS) system, were interviewed three times during one academic school year. This study asked participants to share first-hand experiences and perceptions of using ALEKS as the main learning tool. Teachers used ALEKS for assessing student understanding through its quizzes and assignments, analyzing student progress, and allowing students to practice and receive feedback on mathematical concepts. The findings of this study indicate that teachers found ALEKS to be easy to use and useful in their teaching. Specifically, teachers cited the assessment tools, built-in feedback, ability to personalize learning, and the accessibility of learning tools for students as useful in their teaching.
AI ChatBots' Solutions to Mathematical Problems in Interactive E-TextBooks: Affordances and Constraints from the Eyes of Students and Teachers;"Ergene, Ozkan; Ergene, Busra Caylan";2025;Education and Information Technologies;Article;Eric;https://doi.org/10.1007/s10639-024-13121-z;One of the aims of the present study was to reveal and compare the performance of ChatGPT versions (GPT-4o, GPT-4, and GPT-3.5), MathGPT, and Gemini in solving 390 mathematical problems in interactive mathematics e-textBooks across various dimensions. The other aim was to identify the affordances and constraints of ChatGPT through the instrumental approach. Both quantitative and qualitative approaches were used. The participants were 160 high school students and 80 mathematics teachers. Data were collected through the evaluation forms, view forms, and interviews with students and teachers based on ChatGPT's solutions to the mathematical problems. The findings showed that the success rates of GPT-4o and GPT-4 were close to each other, with a slightly higher success rate of GPT-4o. This was followed by MathGPT and GPT-3.5. Gemini has the lowest success rate among the AI chatbots. Depending on the complexity of the mathematical problems, a statistically significant difference between the number of correct and incorrect solutions was found in all ChatGPT versions but not in MathGPT and Gemini. Furthermore, teachers and students referred to explanatory and detailed aspects of the solutions, learning without a teacher, getting solutions directly and quickly, and learning support as affordances of ChatGPT. On the other hand, the participants also acknowledged the constraints of ChatGPT while being aware of its affordances. Based on students' and teachers' expressions in the view forms and interviews, the mean scores they provided in the evaluation forms, and ChatGPT's high performance in solving mathematical problems, it is suggested that ChatGPT could be a useful tool for students' individual mathematics learning process.
